Sentence,label,label_id
ቋቅ አለው,Idiom,0
በጨው ደንደስ በርበሬ ተወደስ,Idiom,0
ግራ ሆነብኝ,Idiom,0
ከመቼውም ይልቅ ይፋጠናል,Literal ,1
ተስፋም አግኝቻለሁ,Literal ,1
ሰመር ያዘ,Idiom,0
እንጠይቅ,Literal ,1
አይኑ ታወከ,Idiom,0
መጭ አለ,Idiom,0
ህገ መንግስት,Literal ,1
የልጅ አመሳሶ የለውም,Idiom,0
ትልቅ አቅም የሚፈጥር,Literal ,1
የሚስት መናኝ የእናት አገር ለማኝ,Proverb,2
ሁለት ሞት መጣ ቢለው አንዱን ግባ በለው አለ,Proverb,2
ያይን ቆብ,Idiom,0
ቤተ መንግስት,Literal ,1
ከአንድ ወንዝ የተቀዱ,Idiom,0
በነቂስ ወጣ,Idiom,0
የምድር ጉድ,Idiom,0
ከአንጀት ካለቀሱ እንባ አይገድም,Proverb,2
ባጠፌታ እንዲከፍሉዋቸዉ,Literal ,1
አንደበቱ ረታ,Idiom,0
ፊቷ ሳይለዋወጥ ትክ ብላ አየችኝ,Literal ,1
አሰለጥ ሌባ,Idiom,0
ምርጫ ጣቢያ,Literal ,1
አቅማችሁን ማዳበር ትችላላችሁ,Literal ,1
ምንኛ ጠግበሀል,Idiom,0
መንግስት,Literal ,1
የሚል ፍርሃት,Literal ,1
መብቱ ለማስከበር,Literal ,1
ደረቅ እግር,Idiom,0
መሬቱ ተርቧል,Idiom,0
ተክፋ ጎረቤት አይሰሩም ደህና ቤት,Proverb,2
አላቂ እቃ,Idiom,0
ነገር ካንሺው ስጋ ከጠባሺው,Proverb,2
ቃሉን ነቀለ,Idiom,0
ያስችልህ,Idiom,0
እየቆሉ ጥሬ,Proverb,2
ይህ ዓይነቱ,Literal ,1
የግል ንጽህና,Literal ,1
ለሰው ሞት አነሰው,Proverb,2
ሸማ በውሀ ሰው በንስሀ,Proverb,2
በሌ ስል ነበር,Idiom,0
ቅዱስ ባለጌ አለ,Idiom,0
ሀብቶች ተጨፍጭፈዋል,Literal ,1
ኮንዲሚንየም,Literal ,1
ዝም አሰኘ,Idiom,0
መሰረታዊ ግእዝ,Literal ,1
የረጋ ወተት ቅቤ ይወጣዋል,Proverb,2
ሰባራ ስንጥር,Idiom,0
የነገ ሰው ይበለን,Literal ,1
በሚረብሽ ሽታ,Literal ,1
በዚህ ስዓት,Literal ,1
ጆሮውን ጠለዘው,Idiom,0
ባሕርይ አምላክ,Literal ,1
ክብርና ገሰሰ,Idiom,0
እበትም ትል ይወልዳል,Proverb,2
የደሀ እንባ,Idiom,0
ተጠንቀቁ,Literal ,1
እንባ ጠባቂ,Idiom,0
ባለጸጋ ያደርጋል,Literal ,1
የሽሮ ድንፋታ አስኪቀርብ ድረስ,Proverb,2
ውሀውም እንዳይደርቅ አሳውም እንዳያልቅ አድርጎ ነው እርቅ,Proverb,2
የጉም ጅብ,Idiom,0
ሙት ለሙት ያለቅሳል,Idiom,0
አሸናው,Idiom,0
ይዞ የተፈጠረዉ,Literal ,1
ሲፈራ ሲቸር ነው,Idiom,0
ጅብ አፍ,Idiom,0
ጡር ደረሰበት,Idiom,0
አስከሬናቸዉ ተማርኮ,Literal ,1
ለኔ አስፈላጊ አደለም,Literal ,1
ጁድ አረገዘ,Idiom,0
ተራው የእናንተ ነው,Literal ,1
አምባጓሮ አነሳ,Idiom,0
ኮሶ ፊት,Idiom,0
ሞት በጥር በነሀሴ መቃብር,Proverb,2
የሌባ አይነደረቅ መልሶ ልብ ያደርቅ,Proverb,2
ቅና ያለው በአባቱ ከረባት ይቀናል,Proverb,2
የቁም አስር,Idiom,0
እድለኛ ነኝ,Literal ,1
ምድር አስጋጠ,Idiom,0
ልታየዉ የማትችለዉን,Literal ,1
ልቡ ተረጋጋ,Idiom,0
እርም ያድርግብኝ,Idiom,0
በህገ-መንግስቱ መሰረት,Literal ,1
በገነተ ፅጌ,Literal ,1
የስጦታ ፈረስ ጥርሱ አይታይም,Proverb,2
ብረትን መቀጥቀጥ እንደጋለ ነው,Literal ,1
ሰው አየ,Idiom,0
ለነዚህ ልጄን አይሰጥም,Literal ,1
ያህያ ቀበጥ ከጅብ ጡት ይጣባል,Proverb,2
በሳምንት ዉስጥ,Literal ,1
ችግር አይቼ,Literal ,1
ባለቤት ካልጮኸ ጎረቤት አይረዳም,Proverb,2
ወታደራዊ የመረጃ ምንጮች ገልጸዋል,Literal ,1
አረቄ ወገብ,Idiom,0
በመላ ሂድ,Idiom,0
የተለያየ  ሰዎችን ናቸው,Literal ,1
ቀጥኜ ቢያዩኝ ጅማት ለመኑኝ,Idiom,0
በጥበብ መምራት,Literal ,1
አንጀት በጣሽ,Idiom,0
ካፒታል ገበያ ባለስልጣን,Literal ,1
አይነስረውም,Idiom,0
እጣዬ ሆኖ,Idiom,0
ምርዝ አደረገ,Idiom,0
ስራ እንዲሰሩ ይገፋፍዎታል,Literal ,1
አክንባሎ ሰበረ,Idiom,0
ዘር ከልጓም ይስባል,Proverb,2
ትንሽ ዕውቀት,Literal ,1
መገዘዝ ፊት,Idiom,0
አንጀቱ ቆረጠ,Idiom,0
መናገር ብር ነው,Proverb,2
