Sentence,label
 አንደበቱ ድውይ የፈውሳል,Idiom
 አንገቷን ተወቀረች,Idiom
ሀሞተ ቢስ ,Idiom
ሀሞቱ ፈሰሰ,Idiom
ሀሳበ ቢስ,Idiom
ሀሳቡን ጣለ,Idiom
ሀሳብ ሰነዘረ,Idiom
ሀሳብ ተሰነቀረብኝ,Idiom
ሀሳብ ገባው,Idiom
ሀረግ መዘዘ,Idiom
ሀረግ ጣለ,Idiom
ሀብተ ሰባራ,Idiom
ሀብተ ሰባራ,Idiom
ሀብተ ስንኩል,Idiom
ሀብተ ስጋ,Idiom
ሀብተ ስጋና ሀብተ ነፍስ ይስጥህ,Idiom
ሀብተ ቢስ,Idiom
ሀብተ ነፍስ,Idiom
ሀብቱን ሰነከለበት,Idiom
ሀብትሽ በሀብቴ ,Idiom
ሀብቷ ቀና,Idiom
ሀዘኑን በሆዱ አመቀ,Idiom
ሀዘን ሸነቆተው,Idiom
ሀይ ሀይ አለ,Idiom
ሀይ በል አለ,Idiom
ሀይ አለ,Idiom
ሀፍረት ለበሰ,Idiom
ሁለተኛ ስራ,Idiom
ሁለተኛ ተሰራ,Idiom
ሁለቱ ነፈሱ,Idiom
ሁለት ልብ ,Idiom
ሁለት ልብ አትሁን,Idiom
ሁለት ምላስ,Idiom
ሁለት ጠጉር አወጣ,Idiom
ሁሉ አማረሽ,Idiom
ሁሉ አማረሽን ገበያ አታውጧት,Idiom
ሁሉ አገርሽ,Idiom
ሁሉ አገርሽ,Idiom
ሁነኛ ,Idiom
ሁኔታው አይፈቅድም ,Idiom
ሁን ያለው ይሆናል,Idiom
ሁዋሊት,Idiom
ሂያጅ,Idiom
ህሊና ቢስ,Idiom
ህሊና ቢስነት በሰው ዘንድ ያስጠላል,Idiom
ህሊናውን ሳተ,Idiom
ህቅ ህቅ አደረገው,Idiom
ህቅ አለ,Idiom
ህገ ወጥ,Idiom
ህግ ተላለፈ,Idiom
ህግ አፈረሰ,Idiom
ህግ ገባ ,Idiom
ሆነልኝ,Idiom
ሆን ብሎ,Idiom
